en,ja
apple,林檎
aquarium_fish,水族館の魚
baby,赤ちゃん
bear,くま
beaver,ビーバー
bed,ベッド
bee,蜂
beetle,甲虫
bicycle,自転車
bottle,ボトル
bowl,ボウル
boy,男の子
bridge,ブリッジ
bus,バス
butterfly,バタフライ
camel,キャメル
can,できる
castle,城
caterpillar,キャタピラー
cattle,牛
chair,椅子
chimpanzee,チンパンジー
clock,クロック
cloud,雲
cockroach,ゴキブリ
couch,ソファー
crab,カニ
crocodile,クロコダイル
cup,カップ
dinosaur,恐竜
dolphin,イルカ
elephant,象
flatfish,かまや
forest,森林
fox,狐
girl,女の子
hamster,ハムスター
house,家
kangaroo,カンガルー
keyboard,キーボード
lamp,ランプ
lawn_mower,芝刈り機
leopard,ヒョウ
lion,ライオン
lizard,トカゲ
lobster,ロブスター
man,おとこ
maple_tree,カエデ
motorcycle,オートバイ
mountain,山
mouse,マウス
mushroom,キノコ
oak_tree,樫の木
orange,オレンジ
orchid,蘭
otter,オッター
palm_tree,ヤシの木
pear,梨
pickup_truck,ピックアップトラック
pine_tree,松の木
plain,プレーン
plate,プレート
poppy,ポピー
porcupine,ポーキュパイン
possum,アポウム
rabbit,ウサギ
raccoon,ラクーン
ray,レイ
road,道路
rocket,ロケット
rose,ローズ
sea,海
seal,シール
shark,鮫
shrew,首を絞める
skunk,スカンク
skyscraper,超高層ビル
snail,カタツムリ
snake,ヘビ
spider,クモ
squirrel,リス
streetcar,街頭車
sunflower,ヒマワリ
sweet_pepper,スイートペッパー
table,表
tank,タンク
telephone,電話
television,テレビ
tiger,虎
tractor,トラクター
train,列車
trout,マス
tulip,チューリップ
turtle,カメ
wardrobe,ワードローブ
whale,鯨
willow_tree,柳の木
wolf,狼
woman,女性
worm,ワーム
